iD,Product Name,Attribute FR (Name:Type:Position)*,Attribute EN (Name:Type:Position)*,Value FR (Value:Position)*,Value EN (Value:Position)*,Supplier reference,Reference,Référence Finale,EAN13,UPC,Wholesale price,Impact on price,Ecotax,Quantity,Minimal quantity,Impact on weight,"Default (0 = No, 1 = Yes)",Combination available date,Image position,Image URL,"Delete existing images (0 = No, 1 = Yes)",ID / Name of shop,Advanced Stock Managment,Depends on stock,Warehouse,ID,Désignation (Français),Désignation (English),Référence,Nom de la première variante,Nom de la seconde variante,Valeur de la première variante,Ordre variante 1,Valeur de la seconde variante,Ordre variante 2,Stock,Prix,Taux de promotion,Date de début de promotion,Date de fin de promotion,Date réapprovisionnement,,Catégorie Principale,Famille,,,,,,,,,
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 18:1","Argent pailleté:0, 18:1",,sun-argent-pailleté-18,SUN-EN-ARPA18,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,18:1,1,,,0,,45,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-18,Couleur,Pointure,Argent pailleté,1,18,1,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,18,,,sunenfant
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 19:1","Argent pailleté:0, 19:1",,sun-argent-pailleté-19,SUN-EN-ARPA19,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,19:1,1,,,0,,46,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-19,Couleur,Pointure,Argent pailleté,1,19,2,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,19,,,sunenfant
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 20:1","Argent pailleté:0, 20:1",,sun-argent-pailleté-20,SUN-EN-ARPA20,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,20:1,1,,,0,,47,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-20,Couleur,Pointure,Argent pailleté,1,20,3,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,20,,,sunenfant
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 21:1","Argent pailleté:0, 21:1",,sun-argent-pailleté-21,SUN-EN-ARPA21,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,21:1,1,,,0,,48,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-21,Couleur,Pointure,Argent pailleté,1,21,4,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,21,,,sunenfant
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 22:1","Argent pailleté:0, 22:1",,sun-argent-pailleté-22,SUN-EN-ARPA22,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,22:1,1,,,0,,49,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-22,Couleur,Pointure,Argent pailleté,1,22,5,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,22,,,sunenfant
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 23:1","Argent pailleté:0, 23:1",,sun-argent-pailleté-23,SUN-EN-ARPA23,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,23:1,1,,,0,,50,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-23,Couleur,Pointure,Argent pailleté,1,23,6,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,23,,,sunenfant
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 24:1","Argent pailleté:0, 24:1",,sun-argent-pailleté-24,SUN-EN-ARPA24,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,24:1,1,,,0,,51,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-24,Couleur,Pointure,Argent pailleté,1,24,7,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,24,,,sunenfant
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 25:1","Argent pailleté:0, 25:1",,sun-argent-pailleté-25,SUN-EN-ARPA25,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,25:1,1,,,0,,52,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-25,Couleur,Pointure,Argent pailleté,1,25,8,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,25,,,sunenfant
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 26:1","Argent pailleté:0, 26:1",,sun-argent-pailleté-26,SUN-EN-ARPA26,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,26:1,1,,,0,,53,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-26,Couleur,Pointure,Argent pailleté,1,26,9,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,26,,,sunenfant
19,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 27:1","Argent pailleté:0, 27:1",,sun-argent-pailleté-27,SUN-EN-ARPA27,Couleur:color:0,Pointure:select:1,Argent pailleté:0,0,27:1,1,,,0,,54,https://cata.meduse.co/enfants/sandales/sun/argent-paillete/sandales-enfant-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-27,Couleur,Pointure,Argent pailleté,1,27,10,1,12,,,,,,Sandales enfant,Enfant,Sandale,sun enfant,sun,argent,pailleté,27,,,sunenfant
