iD,Product Name,Attribute FR (Name:Type:Position)*,Attribute EN (Name:Type:Position)*,Value FR (Value:Position)*,Value EN (Value:Position)*,Supplier reference,Reference,Référence Finale,EAN13,UPC,Wholesale price,Impact on price,Ecotax,Quantity,Minimal quantity,Impact on weight,"Default (0 = No, 1 = Yes)",Combination available date,Image position,Image URL,"Delete existing images (0 = No, 1 = Yes)",ID / Name of shop,Advanced Stock Managment,Depends on stock,Warehouse,ID,Désignation (Français),Désignation (English),Référence,Nom de la première variante,Nom de la seconde variante,Valeur de la première variante,Ordre variante 1,Valeur de la seconde variante,Ordre variante 2,Stock,Prix,Taux de promotion,Date de début de promotion,Date de fin de promotion,Date réapprovisionnement,,Catégorie Principale,Famille,,,,,,,,,
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 35:1","Argent pailleté:0, 35:1",,sun-argent-pailleté-35,SUN-FE-ARPA35,Couleur:color:0,Pointure:select:1,Argent pailleté:0,6,35:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/argent-paillete/sandales-femme-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-35,Couleur,Pointure,Argent pailleté,1,35,18,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,argent,pailleté,35,,,sunfemme
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 36:1","Argent pailleté:0, 36:1",,sun-argent-pailleté-36,SUN-FE-ARPA36,Couleur:color:0,Pointure:select:1,Argent pailleté:0,6,36:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/argent-paillete/sandales-femme-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-36,Couleur,Pointure,Argent pailleté,1,36,19,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,argent,pailleté,36,,,sunfemme
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 37:1","Argent pailleté:0, 37:1",,sun-argent-pailleté-37,SUN-FE-ARPA37,Couleur:color:0,Pointure:select:1,Argent pailleté:0,6,37:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/argent-paillete/sandales-femme-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-37,Couleur,Pointure,Argent pailleté,1,37,20,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,argent,pailleté,37,,,sunfemme
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 38:1","Argent pailleté:0, 38:1",,sun-argent-pailleté-38,SUN-FE-ARPA38,Couleur:color:0,Pointure:select:1,Argent pailleté:0,6,38:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/argent-paillete/sandales-femme-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-38,Couleur,Pointure,Argent pailleté,1,38,21,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,argent,pailleté,38,,,sunfemme
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 39:1","Argent pailleté:0, 39:1",,sun-argent-pailleté-39,SUN-FE-ARPA39,Couleur:color:0,Pointure:select:1,Argent pailleté:0,6,39:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/argent-paillete/sandales-femme-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-39,Couleur,Pointure,Argent pailleté,1,39,22,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,argent,pailleté,39,,,sunfemme
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 40:1","Argent pailleté:0, 40:1",,sun-argent-pailleté-40,SUN-FE-ARPA40,Couleur:color:0,Pointure:select:1,Argent pailleté:0,6,40:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/argent-paillete/sandales-femme-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-40,Couleur,Pointure,Argent pailleté,1,40,23,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,argent,pailleté,40,,,sunfemme
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 41:1","Argent pailleté:0, 41:1",,sun-argent-pailleté-41,SUN-FE-ARPA41,Couleur:color:0,Pointure:select:1,Argent pailleté:0,6,41:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/argent-paillete/sandales-femme-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-41,Couleur,Pointure,Argent pailleté,1,41,24,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,argent,pailleté,41,,,sunfemme
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Argent pailleté:0, 42:1","Argent pailleté:0, 42:1",,sun-argent-pailleté-42,SUN-FE-ARPA42,Couleur:color:0,Pointure:select:1,Argent pailleté:0,6,42:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/argent-paillete/sandales-femme-sun-argent-paillete-cote.jpg,1,,,,,15,Sun,,sun-argent-pailleté-42,Couleur,Pointure,Argent pailleté,1,42,25,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,argent,pailleté,42,,,sunfemme
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Bleu pastel:0, 35:1","Bleu pastel:0, 35:1",,sun-bleu-pastel-35,SUN-FE-BLPA35,Couleur:color:0,Pointure:select:1,Bleu pastel:0,6,35:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/bleu-pastel/sandales-femme-sun-bleu-pastel-cote.jpg,1,,,,,15,Sun,,sun-bleu-pastel-35,Couleur,Pointure,Bleu pastel,3,35,18,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,bleu,pastel,35,,,sunfemme
15,Sun,"Couleur:color:0, Pointure:select:1","Color:color:0, Size:select:1","Bleu pastel:0, 36:1","Bleu pastel:0, 36:1",,sun-bleu-pastel-36,SUN-FE-BLPA36,Couleur:color:0,Pointure:select:1,Bleu pastel:0,6,36:1,1,,,,,,https://cata.meduse.co/femmes/sandales/sun/bleu-pastel/sandales-femme-sun-bleu-pastel-cote.jpg,1,,,,,15,Sun,,sun-bleu-pastel-36,Couleur,Pointure,Bleu pastel,3,36,19,1,18,,,,,,Sandales femme,Femme,Sandale,sun femme,sun,bleu,pastel,36,,,sunfemme
